rodada,mecanismo,debito_req_s,latencia_ms
1,iptables,44120,12.11
1,ebpf,61850,4.12
2,iptables,45980,12.52
2,ebpf,62340,4.25
3,iptables,45150,11.89
3,ebpf,61950,4.01
4,iptables,43890,13.10
4,ebpf,62100,4.15
5,iptables,46200,12.40
5,ebpf,62800,4.30
6,iptables,44500,12.15
6,ebpf,61500,3.95
7,iptables,45300,12.85
7,ebpf,62250,4.20
8,iptables,43100,11.05
8,ebpf,62050,4.10
9,iptables,45800,13.45
9,ebpf,63100,4.45
10,iptables,44900,12.30
10,ebpf,61700,4.08
11,iptables,45250,12.60
11,ebpf,62400,4.22
12,iptables,46100,12.25
12,ebpf,62150,4.16
13,iptables,43950,11.75
13,ebpf,61900,4.05
14,iptables,44800,12.55
14,ebpf,62600,4.32
15,iptables,45550,12.90
15,ebpf,62300,4.21
16,iptables,44200,12.02
16,ebpf,61650,3.98
17,iptables,45700,12.68
17,ebpf,62550,4.27
18,iptables,43600,11.40
18,ebpf,61800,4.11
19,iptables,46400,13.25
19,ebpf,62950,4.40
20,iptables,45050,12.35
20,ebpf,62000,4.14
21,iptables,44750,12.18
21,ebpf,61750,4.03
22,iptables,45400,12.72
22,ebpf,62200,4.19
23,iptables,43300,11.15
23,ebpf,61400,3.92
24,iptables,46050,13.38
24,ebpf,62750,4.36
25,iptables,44950,12.42
25,ebpf,62120,4.17
26,iptables,45180,12.22
26,ebpf,61880,4.09
27,iptables,45620,12.58
27,ebpf,62450,4.24
28,iptables,43450,11.52
28,ebpf,61550,3.96
29,iptables,46310,13.05
29,ebpf,62880,4.33
30,iptables,44850,12.28
30,ebpf,61980,4.13
31,iptables,45220,12.48
31,ebpf,62220,4.18
32,iptables,45850,12.80
32,ebpf,62500,4.26
33,iptables,43700,11.60
33,ebpf,61600,4.02
34,iptables,46150,13.12
34,ebpf,62700,4.31
35,iptables,45000,12.44
35,ebpf,62020,4.15
